Team,Total_Games,Wins,Losses,Win_Percentage
Houston,13,13,0,1
James Madison,13,13,0,1
Mississippi,13,13,0,1
Nevada,14,13,1,0.9285714285714286
BYU,13,12,1,0.9230769230769231
Colorado St.,13,12,1,0.9230769230769231
Grand Canyon,13,12,1,0.9230769230769231
Kansas,13,12,1,0.9230769230769231
New Mexico,13,12,1,0.9230769230769231
Oklahoma,13,12,1,0.9230769230769231
Princeton,13,12,1,0.9230769230769231
Purdue,13,12,1,0.9230769230769231
South Carolina,13,12,1,0.9230769230769231
Utah St.,13,12,1,0.9230769230769231
Clemson,12,11,1,0.9166666666666666
Purdue Fort Wayne,15,13,2,0.8666666666666667
Cincinnati,13,11,2,0.8461538461538461
Colorado,13,11,2,0.8461538461538461
Connecticut,13,11,2,0.8461538461538461
Drake,13,11,2,0.8461538461538461
George Mason,13,11,2,0.8461538461538461
George Washington,13,11,2,0.8461538461538461
Indiana St.,13,11,2,0.8461538461538461
Iowa St.,13,11,2,0.8461538461538461
McNeese St.,13,11,2,0.8461538461538461
Memphis,13,11,2,0.8461538461538461
Mississippi St.,13,11,2,0.8461538461538461
Nebraska,13,11,2,0.8461538461538461
Ohio St.,13,11,2,0.8461538461538461
Providence,13,11,2,0.8461538461538461
Samford,13,11,2,0.8461538461538461
San Diego St.,13,11,2,0.8461538461538461
Utah,13,11,2,0.8461538461538461
Western Carolina,13,11,2,0.8461538461538461
Auburn,12,10,2,0.8333333333333334
Baylor,12,10,2,0.8333333333333334
Cornell,12,10,2,0.8333333333333334
Dayton,12,10,2,0.8333333333333334
Illinois,12,10,2,0.8333333333333334
Kentucky,12,10,2,0.8333333333333334
Miami FL,12,10,2,0.8333333333333334
Northwestern,12,10,2,0.8333333333333334
TCU,12,10,2,0.8333333333333334
Texas,12,10,2,0.8333333333333334
Texas Tech,12,10,2,0.8333333333333334
Longwood,15,12,3,0.8
Cal St. Northridge,14,11,3,0.7857142857142857
Marquette,14,11,3,0.7857142857142857
Western Kentucky,14,11,3,0.7857142857142857
Appalachian St.,13,10,3,0.7692307692307693
Arizona,13,10,3,0.7692307692307693
Butler,13,10,3,0.7692307692307693
Davidson,13,10,3,0.7692307692307693
Evansville,13,10,3,0.7692307692307693
Florida,13,10,3,0.7692307692307693
Florida Atlantic,13,10,3,0.7692307692307693
Georgia,13,10,3,0.7692307692307693
Indiana,13,10,3,0.7692307692307693
Minnesota,13,10,3,0.7692307692307693
Oregon,13,10,3,0.7692307692307693
Saint Joseph's,13,10,3,0.7692307692307693
Syracuse,13,10,3,0.7692307692307693
Virginia,13,10,3,0.7692307692307693
Boston College,12,9,3,0.75
Bowling Green,12,9,3,0.75
Duke,12,9,3,0.75
Duquesne,12,9,3,0.75
Kansas St.,12,9,3,0.75
Massachusetts,12,9,3,0.75
N.C. State,12,9,3,0.75
North Carolina,12,9,3,0.75
St. Bonaventure,12,9,3,0.75
Tennessee,12,9,3,0.75
Tulane,12,9,3,0.75
Tulsa,12,9,3,0.75
UCF,12,9,3,0.75
UNC Wilmington,12,9,3,0.75
Wake Forest,12,9,3,0.75
Wisconsin,12,9,3,0.75
High Point,15,11,4,0.7333333333333333
San Francisco,15,11,4,0.7333333333333333
Liberty,14,10,4,0.7142857142857143
Morehead St.,14,10,4,0.7142857142857143
Portland St.,14,10,4,0.7142857142857143
Youngstown St.,14,10,4,0.7142857142857143
Arkansas,13,9,4,0.6923076923076923
Belmont,13,9,4,0.6923076923076923
Boise St.,13,9,4,0.6923076923076923
Charleston,13,9,4,0.6923076923076923
Creighton,13,9,4,0.6923076923076923
Gonzaga,13,9,4,0.6923076923076923
La Salle,13,9,4,0.6923076923076923
Maryland,13,9,4,0.6923076923076923
Missouri St.,13,9,4,0.6923076923076923
Oregon St.,13,9,4,0.6923076923076923
Pittsburgh,13,9,4,0.6923076923076923
Quinnipiac,13,9,4,0.6923076923076923
SMU,13,9,4,0.6923076923076923
Southern Illinois,13,9,4,0.6923076923076923
St. John's,13,9,4,0.6923076923076923
Tarleton St.,13,9,4,0.6923076923076923
Texas A&M,13,9,4,0.6923076923076923
UMass Lowell,13,9,4,0.6923076923076923
UNC Greensboro,13,9,4,0.6923076923076923
Villanova,13,9,4,0.6923076923076923
Virginia Tech,13,9,4,0.6923076923076923
Washington St.,13,9,4,0.6923076923076923
Weber St.,13,9,4,0.6923076923076923
Akron,12,8,4,0.6666666666666666
Ball St.,12,8,4,0.6666666666666666
Cleveland St.,15,10,5,0.6666666666666666
Columbia,12,8,4,0.6666666666666666
Georgia Tech,12,8,4,0.6666666666666666
Harvard,12,8,4,0.6666666666666666
Radford,15,10,5,0.6666666666666666
Rutgers,12,8,4,0.6666666666666666
San Diego,15,10,5,0.6666666666666666
St. Thomas,15,10,5,0.6666666666666666
Jacksonville,14,9,5,0.6428571428571429
Kennesaw St.,14,9,5,0.6428571428571429
Long Beach St.,14,9,5,0.6428571428571429
Louisiana Tech,14,9,5,0.6428571428571429
UC Irvine,14,9,5,0.6428571428571429
Vermont,14,9,5,0.6428571428571429
Marist,11,7,4,0.6363636363636364
South Florida,11,7,4,0.6363636363636364
Alabama,13,8,5,0.6153846153846154
Arizona St.,13,8,5,0.6153846153846154
Binghamton,13,8,5,0.6153846153846154
Bradley,13,8,5,0.6153846153846154
Cal Baptist,13,8,5,0.6153846153846154
Chattanooga,13,8,5,0.6153846153846154
Delaware,13,8,5,0.6153846153846154
East Tennessee St.,13,8,5,0.6153846153846154
Hawaii,13,8,5,0.6153846153846154
Illinois St.,13,8,5,0.6153846153846154
Iowa,13,8,5,0.6153846153846154
LSU,13,8,5,0.6153846153846154
Loyola Chicago,13,8,5,0.6153846153846154
Michigan St.,13,8,5,0.6153846153846154
Missouri,13,8,5,0.6153846153846154
Montana,13,8,5,0.6153846153846154
New Hampshire,13,8,5,0.6153846153846154
Richmond,13,8,5,0.6153846153846154
Seattle,13,8,5,0.6153846153846154
Seton Hall,13,8,5,0.6153846153846154
South Alabama,13,8,5,0.6153846153846154
Stephen F. Austin,13,8,5,0.6153846153846154
The Citadel,13,8,5,0.6153846153846154
UAB,13,8,5,0.6153846153846154
VCU,13,8,5,0.6153846153846154
Washington,13,8,5,0.6153846153846154
Wichita St.,13,8,5,0.6153846153846154
Denver,15,9,6,0.6
Lipscomb,15,9,6,0.6
Norfolk St.,15,9,6,0.6
Saint Mary's,15,9,6,0.6
Santa Clara,15,9,6,0.6
Tennessee Martin,15,9,6,0.6
Winthrop,15,9,6,0.6
Air Force,12,7,5,0.5833333333333334
Eastern Michigan,12,7,5,0.5833333333333334
Kent St.,12,7,5,0.5833333333333334
North Texas,12,7,5,0.5833333333333334
Oklahoma St.,12,7,5,0.5833333333333334
UC Santa Barbara,12,7,5,0.5833333333333334
Albany,14,8,6,0.5714285714285714
Cal St. Fullerton,14,8,6,0.5714285714285714
Penn,14,8,6,0.5714285714285714
Stetson,14,8,6,0.5714285714285714
UTEP,14,8,6,0.5714285714285714
Western Illinois,14,8,6,0.5714285714285714
Yale,14,8,6,0.5714285714285714
Saint Peter's,11,6,5,0.5454545454545454
UNLV,11,6,5,0.5454545454545454
Drexel,13,7,6,0.5384615384615384
East Carolina,13,7,6,0.5384615384615384
Elon,13,7,6,0.5384615384615384
Fairfield,13,7,6,0.5384615384615384
Fresno St.,13,7,6,0.5384615384615384
Georgetown,13,7,6,0.5384615384615384
Hofstra,13,7,6,0.5384615384615384
Illinois Chicago,13,7,6,0.5384615384615384
Louisiana,13,7,6,0.5384615384615384
Mercer,13,7,6,0.5384615384615384
Monmouth,13,7,6,0.5384615384615384
Penn St.,13,7,6,0.5384615384615384
Saint Louis,13,7,6,0.5384615384615384
San Jose St.,13,7,6,0.5384615384615384
Stony Brook,13,7,6,0.5384615384615384
Temple,13,7,6,0.5384615384615384
Texas A&M Corpus Chris,13,7,6,0.5384615384615384
Towson,13,7,6,0.5384615384615384
Troy,13,7,6,0.5384615384615384
UC Davis,13,7,6,0.5384615384615384
UC San Diego,13,7,6,0.5384615384615384
Wofford,13,7,6,0.5384615384615384
Wyoming,13,7,6,0.5384615384615384
Xavier,13,7,6,0.5384615384615384
Bryant,15,8,7,0.5333333333333333
Green Bay,15,8,7,0.5333333333333333
Jacksonville St.,15,8,7,0.5333333333333333
Maine,15,8,7,0.5333333333333333
North Dakota,15,8,7,0.5333333333333333
Presbyterian,15,8,7,0.5333333333333333
SIU Edwardsville,15,8,7,0.5333333333333333
South Dakota,15,8,7,0.5333333333333333
Tennessee St.,15,8,7,0.5333333333333333
UNC Asheville,15,8,7,0.5333333333333333
Canisius,12,6,6,0.5
Charlotte,12,6,6,0.5
Florida St.,12,6,6,0.5
Georgia St.,12,6,6,0.5
Idaho,14,7,7,0.5
Loyola Marymount,14,7,7,0.5
Miami OH,12,6,6,0.5
Milwaukee,14,7,7,0.5
North Carolina Central,14,7,7,0.5
North Dakota St.,14,7,7,0.5
Northern Colorado,12,6,6,0.5
Northern Illinois,12,6,6,0.5
Northern Kentucky,14,7,7,0.5
Ohio,12,6,6,0.5
South Dakota St.,14,7,7,0.5
Stanford,12,6,6,0.5
Texas A&M Commerce,12,6,6,0.5
Toledo,12,6,6,0.5
UT Arlington,12,6,6,0.5
Wagner,12,6,6,0.5
Austin Peay,15,7,8,0.4666666666666667
Little Rock,15,7,8,0.4666666666666667
Nebraska Omaha,15,7,8,0.4666666666666667
North Florida,15,7,8,0.4666666666666667
Oakland,15,7,8,0.4666666666666667
Pepperdine,15,7,8,0.4666666666666667
American,13,6,7,0.46153846153846156
Campbell,13,6,7,0.46153846153846156
Central Connecticut,13,6,7,0.46153846153846156
Colgate,13,6,7,0.46153846153846156
Eastern Washington,13,6,7,0.46153846153846156
Fordham,13,6,7,0.46153846153846156
Furman,13,6,7,0.46153846153846156
Iona,13,6,7,0.46153846153846156
Lamar,13,6,7,0.46153846153846156
Michigan,13,6,7,0.46153846153846156
Montana St.,13,6,7,0.46153846153846156
North Alabama,13,6,7,0.46153846153846156
Northern Arizona,13,6,7,0.46153846153846156
Northern Iowa,13,6,7,0.46153846153846156
Notre Dame,13,6,7,0.46153846153846156
Oral Roberts,13,6,7,0.46153846153846156
Rhode Island,13,6,7,0.46153846153846156
Rice,13,6,7,0.46153846153846156
Southern,13,6,7,0.46153846153846156
Southern Miss,13,6,7,0.46153846153846156
Texas St.,13,6,7,0.46153846153846156
UCLA,13,6,7,0.46153846153846156
USC,13,6,7,0.46153846153846156
UTSA,13,6,7,0.46153846153846156
Utah Tech,13,6,7,0.46153846153846156
Utah Valley,13,6,7,0.46153846153846156
Delaware St.,16,7,9,0.4375
Eastern Illinois,14,6,8,0.42857142857142855
Fairleigh Dickinson,14,6,8,0.42857142857142855
Lindenwood,14,6,8,0.42857142857142855
Marshall,14,6,8,0.42857142857142855
Merrimack,14,6,8,0.42857142857142855
Sam Houston St.,14,6,8,0.42857142857142855
UC Riverside,14,6,8,0.42857142857142855
Wright St.,14,6,8,0.42857142857142855
Central Michigan,12,5,7,0.4166666666666667
Louisville,12,5,7,0.4166666666666667
Florida Gulf Coast,15,6,9,0.4
New Mexico St.,15,6,9,0.4
Pacific,15,6,9,0.4
Portland,15,6,9,0.4
Queens,15,6,9,0.4
Sacred Heart,15,6,9,0.4
